Rank,Club,Country,Level,Elo,From,To
55,Rennes,FRA,1,1695.4329834,2024-01-01,2024-01-07
56,Sevilla,ESP,1,1693.82922363,2024-01-01,2024-01-04
57,Getafe,ESP,1,1693.7442627,2024-01-01,2024-01-02
58,Torino,ITA,1,1690.62817383,2024-01-01,2024-01-02
59,Brugge,BEL,1,1690.61535645,2024-01-01,2024-01-02
60,Galatasaray,TUR,1,1685.47253418,2024-01-01,2024-01-04
61,Salzburg,AUT,1,1682.15356445,2024-01-01,2024-01-04
62,Valencia,ESP,1,1680.18591309,2024-01-01,2024-01-02
63,Wolfsburg,GER,1,1674.62915039,2024-01-01,2024-01-07
64,Fenerbahce,TUR,1,1672.50024414,2024-01-01,2024-01-07
65,Braga,POR,1,1670.50683594,2024-01-01,2024-01-06
66,Forest,ENG,1,1669.96276855,2024-01-01,2024-01-12
67,Zenit,RUS,1,1665.77563477,2024-01-01,2024-01-13
68,Hoffenheim,GER,1,1665.17321777,2024-01-01,2024-01-06
69,Gladbach,GER,1,1664.9597168,2024-01-01,2024-01-06
70,Monza,ITA,1,1664.47546387,2024-01-01,2024-01-06
71,Sparta Praha,CZE,1,1663.13903809,2024-01-01,2024-01-12
72,Brest,FRA,1,1662.75671387,2024-01-01,2024-01-14
73,Lyon,FRA,1,1652.94299316,2024-01-01,2024-01-02
74,Gent,BEL,1,1651.4239502,2024-01-01,2024-01-02
75,Burnley,ENG,1,1650.16088867,2024-01-01,2024-01-02
76,Ajax,NED,1,1649.73937988,2024-01-01,2024-01-02
77,Union Berlin,GER,1,1649.70349121,2024-01-01,2024-01-02
78,Osasuna,ESP,1,1649.26464844,2024-01-01,2024-01-02
79,Udinese,ITA,1,1648.55700684,2024-01-01,2024-01-02
80,FC Kobenhavn,DEN,1,1648.20727539,2024-01-01,2024-01-02
81,Mallorca,ESP,1,1645.85461426,2024-01-01,2024-01-02
82,Rangers,SCO,1,1645.73022461,2024-01-01,2024-01-02
83,Rayo Vallecano,ESP,1,1638.89758301,2024-01-01,2024-01-02
84,Reims,FRA,1,1637.78588867,2024-01-01,2024-01-13
85,Mainz,GER,1,1636.33496094,2024-01-01,2024-01-12
86,Anderlecht,BEL,1,1635.86877441,2024-01-01,2024-01-03
87,Strasbourg,FRA,1,1632.54284668,2024-01-01,2024-01-01
88,Southampton,ENG,2,1631.94592285,2024-01-01,2024-01-01
89,Montpellier,FRA,1,1631.84326172,2024-01-01,2024-01-03
90,Leeds,ENG,2,1631.18920898,2024-01-01,2024-01-01
91,Genk,BEL,1,1629.97412109,2024-01-01,2024-01-01
92,Las Palmas,ESP,1,1629.09692383,2024-01-01,2024-01-02
93,Cadiz,ESP,1,1628.36791992,2024-01-01,2024-01-02
94,M Tel Aviv,ISR,1,1627.07824707,2024-01-01,2024-01-02
95,Twente,NED,1,1627.03857422,2024-01-01,2024-01-02
96,Celta,ESP,1,1626.94458008,2024-01-01,2024-01-02
97,Celtic,SCO,1,1626.86779785,2024-01-01,2024-01-02
98,Midtjylland,DEN,1,1625.11352539,2024-01-01,2024-01-03
99,Sassuolo,ITA,1,1620.74902344,2024-01-01,2024-01-03
100,Antwerp,BEL,1,1620.6940918,2024-01-01,2024-01-03
None,Young Boys,SUI,1,1619.63793945,2024-01-01,2024-01-03
None,Genoa,ITA,1,1619.31726074,2024-01-01,2024-01-05
None,Bochum,GER,1,1617.0826416,2024-01-01,2024-01-14
None,Shakhtar,UKR,1,1616.98693848,2024-01-01,2024-02-13
None,Koeln,GER,1,1615.33166504,2024-01-01,2024-01-13
None,Werder,GER,1,1613.55725098,2024-01-01,2024-01-14
None,Lecce,ITA,1,1607.77172852,2024-01-01,2024-01-06
None,Augsburg,GER,1,1605.97497559,2024-01-01,2024-01-13
None,Luton,ENG,1,1604.55761719,2024-01-01,2024-01-12
None,Bodoe Glimt,NOR,1,1603.89282227,2024-01-01,2024-02-15
None,Frosinone,ITA,1,1596.88134766,2024-01-01,2024-01-06
None,Espanyol,ESP,2,1595.63525391,2024-01-01,2024-01-13
None,Toulouse,FRA,1,1595.14038086,2024-01-01,2024-01-14
None,Heidenheim,GER,1,1594.81750488,2024-01-01,2024-01-13
None,Alaves,ESP,1,1589.52319336,2024-01-01,2024-01-02
None,PAOK,GRE,1,1587.88366699,2024-01-01,2024-01-03
None,Empoli,ITA,1,1586.75354004,2024-01-01,2024-01-07
None,Alkmaar,NED,1,1586.41772461,2024-01-01,2024-01-13
None,Verona,ITA,1,1584.61621094,2024-01-01,2024-01-06
None,Levante,ESP,2,1584.60705566,2024-01-01,2024-01-13
None,St Pauli,GER,2,1582.28857422,2024-01-01,2024-01-20
None,Sheffield United,ENG,1,1580.95605469,2024-01-01,2024-01-21
None,Maccabi Haifa,ISR,1,1580.83435059,2024-01-01,2024-01-03
None,Hamburg,GER,2,1580.66894531,2024-01-01,2024-01-20
None,Valladolid,ESP,2,1580.01245117,2024-01-01,2024-01-13
None,Karabakh Agdam,AZE,0,1579.7578125,2024-01-01,2024-02-15
None,Salernitana,ITA,1,1574.23779297,2024-01-01,2024-01-07
None,Nordsjaelland,DEN,1,1573.05480957,2024-01-01,2024-02-13
None,Olympiakos,GRE,1,1572.88659668,2024-01-01,2024-01-03
None,FC Krasnodar,RUS,1,1567.67382812,2024-01-01,2024-03-02
None,Brondby,DEN,1,1565.76599121,2024-01-01,2024-02-13
None,Granada,ESP,1,1563.73828125,2024-01-01,2024-01-03
None,West Brom,ENG,2,1561.99157715,2024-01-01,2024-01-01
None,Cagliari,ITA,1,1560.85302734,2024-01-01,2024-01-06
None,Eibar,ESP,2,1559.84887695,2024-01-01,2024-01-12
None,Leganes,ESP,2,1559.29125977,2024-01-01,2024-01-14
None,Viktoria Plzen,CZE,1,1559.2208252,2024-01-01,2024-02-10
None,Sturm Graz,AUT,1,1558.44750977,2024-01-01,2024-02-09
None,CSKA Moskva,RUS,1,1558.03466797,2024-01-01,2024-03-02
None,Clermont,FRA,1,1557.69628906,2024-01-01,2024-01-14
None,Oviedo,ESP,2,1556.9140625,2024-01-01,2024-01-13
None,Duesseldorf,GER,2,1556.5880127,2024-01-01,2024-01-21
None,Auxerre,FRA,2,1556.35119629,2024-01-01,2024-01-15
None,Almeria,ESP,1,1554.82507324,2024-01-01,2024-01-04
None,Parma,ITA,2,1554.46789551,2024-01-01,2024-01-14
None,Nantes,FRA,1,1553.98217773,2024-01-01,2024-01-14
None,Metz,FRA,1,1553.21398926,2024-01-01,2024-01-14
None,Coventry,ENG,2,1551.84240723,2024-01-01,2024-01-01
None,Lorient,FRA,1,1550.74255371,2024-01-01,2024-01-14
None,Elche,ESP,2,1549.4967041,2024-01-01,2024-01-13
None,Le Havre,FRA,1,1548.50866699,2024-01-01,2024-01-14
None,Hertha,GER,2,1548.0604248,2024-01-01,2024-01-21
None,Besiktas,TUR,1,1543.64819336,2024-01-01,2024-01-05
None,AEK,GRE,1,1543.62878418,2024-01-01,2024-01-03
None,Cercle Brugge,BEL,1,1542.76757812,2024-01-01,2024-01-20
None,Middlesbrough,ENG,2,1539.54187012,2024-01-01,2024-01-01
None,Guimaraes,POR,1,1538.34509277,2024-01-01,2024-01-06
None,Lok Moskva,RUS,1,1536.77368164,2024-01-01,2024-03-03
None,Darmstadt,GER,1,1536.66333008,2024-01-01,2024-01-13
None,Panathinaikos,GRE,1,1535.37634277,2024-01-01,2024-01-03
None,Ipswich,ENG,2,1535.05175781,2024-01-01,2024-01-01
None,Trabzonspor,TUR,1,1534.80041504,2024-01-01,2024-01-06
None,Crvena Zvezda,SRB,1,1534.0423584,2024-01-01,2024-02-10
None,Dinamo Zagreb,CRO,1,1533.81738281,2024-01-01,2024-01-23
None,Rakow,POL,1,1533.25720215,2024-01-01,2024-02-11
None,Adana Demirspor,TUR,1,1532.99194336,2024-01-01,2024-01-06
None,Cremonese,ITA,2,1532.93444824,2024-01-01,2024-01-14
None,Gijon,ESP,2,1532.89318848,2024-01-01,2024-01-14
None,Aarhus,DEN,1,1531.44958496,2024-01-01,2024-02-13
None,Tenerife,ESP,2,1529.62329102,2024-01-01,2024-01-13
None,Molde,NOR,1,1529.03430176,2024-01-01,2024-02-15
None,Holstein,GER,2,1527.94641113,2024-01-01,2024-01-19
None,Santander,ESP,2,1524.37268066,2024-01-01,2024-01-12
None,Razgrad,BUL,1,1523.77404785,2024-01-01,2024-02-15
None,Spartak Moskva,RUS,1,1522.1529541,2024-01-01,2024-03-02
None,Schalke,GER,2,1520.15222168,2024-01-01,2024-01-20
None,Sunderland,ENG,2,1518.47827148,2024-01-01,2024-01-01
None,Watford,ENG,2,1516.85595703,2024-01-01,2024-01-01
None,Paderborn,GER,2,1516.14233398,2024-01-01,2024-01-21
None,Sparta Rotterdam,NED,1,1514.70678711,2024-01-01,2024-01-13
None,LASK,AUT,1,1513.9552002,2024-01-01,2024-02-11
None,Dynamo Moskva,RUS,1,1512.03771973,2024-01-01,2024-03-03
None,Angers,FRA,2,1511.20007324,2024-01-01,2024-01-13
None,Lech,POL,1,1508.32189941,2024-01-01,2024-02-10
None,Hull,ENG,2,1507.64013672,2024-01-01,2024-01-01
None,Venezia,ITA,2,1504.98303223,2024-01-01,2024-01-14
None,Ferrol,ESP,2,1504.51000977,2024-01-01,2024-01-13
None,Swansea,ENG,2,1502.89990234,2024-01-01,2024-01-01
None,Bristol City,ENG,2,1502.79321289,2024-01-01,2024-01-01
None,Fuerth,GER,2,1502.66333008,2024-01-01,2024-01-21
None,Burgos,ESP,2,1499.43603516,2024-01-01,2024-01-13
None,Zaragoza,ESP,2,1496.29504395,2024-01-01,2024-01-15
None,Mirandes,ESP,2,1495.41308594,2024-01-01,2024-01-13
None,Slovacko,CZE,1,1495.1184082,2024-01-01,2024-02-10
None,Norwich,ENG,2,1494.20898438,2024-01-01,2024-01-01
None,Beer-Sheva,ISR,1,1493.87768555,2024-01-01,2024-01-02
None,Zuerich,SUI,1,1493.71887207,2024-01-01,2024-01-21
None,Servette,SUI,1,1493.48278809,2024-01-01,2024-01-23
None,Legia,POL,1,1492.80578613,2024-01-01,2024-02-09
None,StGallen,SUI,1,1488.04516602,2024-01-01,2024-01-20
None,Hajduk,CRO,1,1487.38720703,2024-01-01,2024-01-28
None,Albacete,ESP,2,1486.69445801,2024-01-01,2024-01-13
None,Huesca,ESP,2,1485.50952148,2024-01-01,2024-01-14
None,Utrecht,NED,1,1485.4239502,2024-01-01,2024-01-14
None,Andorra CF,ESP,2,1485.25537109,2024-01-01,2024-01-14
None,Millwall,ENG,2,1484.35681152,2024-01-01,2024-01-01
None,Charleroi,BEL,1,1483.41296387,2024-01-01,2024-01-21
None,Como,ITA,2,1481.90405273,2024-01-01,2024-01-13
None,Bueyueksehir,TUR,1,1481.21984863,2024-01-01,2024-01-06
None,St Truiden,BEL,1,1481.0682373,2024-01-01,2024-01-21
None,Silkeborg,DEN,1,1479.22705078,2024-01-01,2024-02-13
None,Larnaca,CYP,0,1477.84204102,2024-01-01,2024-07-11
None,Sampdoria,ITA,2,1477.68774414,2024-01-01,2024-01-14
None,Dynamo Kyiv,UKR,1,1474.82263184,2024-01-01,2024-02-15
None,Famalicao,POR,1,1473.29541016,2024-01-01,2024-01-07
None,Palermo,ITA,2,1472.34033203,2024-01-01,2024-01-13
None,Moreirense,POR,1,1471.43884277,2024-01-01,2024-01-08
None,Standard,BEL,1,1471.10058594,2024-01-01,2024-01-20
None,Westerlo,BEL,1,1470.79711914,2024-01-01,2024-01-20
None,Viborg,DEN,1,1470.45483398,2024-01-01,2024-02-13
None,Karlsruhe,GER,2,1468.94165039,2024-01-01,2024-01-19
None,Cittadella,ITA,2,1467.85241699,2024-01-01,2024-01-13
None,Blackburn,ENG,2,1467.56481934,2024-01-01,2024-01-01
None,Rapid Wien,AUT,1,1465.81518555,2024-01-01,2024-02-11
None,Cardiff,ENG,2,1463.61169434,2024-01-01,2024-01-01
None,Arouca,POR,1,1463.41357422,2024-01-01,2024-01-06
None,Bari,ITA,2,1463.10205078,2024-01-01,2024-01-13
None,Rostov,RUS,1,1462.5859375,2024-01-01,2024-03-01
None,Stoke,ENG,2,1461.7833252,2024-01-01,2024-01-01
None,Piast Gliwice,POL,1,1461.72729492,2024-01-01,2024-02-10
None,Pogon,POL,1,1461.04797363,2024-01-01,2024-02-11
None,Nijmegen,NED,1,1460.96777344,2024-01-01,2024-01-14
None,Ferencvaros,HUN,1,1460.66870117,2024-01-01,2024-02-03
None,Kryliya Sovetov,RUS,1,1459.75158691,2024-01-01,2024-03-01
None,Hannover,GER,2,1459.59155273,2024-01-01,2024-01-20
None,Mechelen,BEL,1,1458.46472168,2024-01-01,2024-01-19
None,Tromso,NOR,1,1454.14990234,2024-01-01,2024-02-15
None,Ajaccio,FRA,2,1453.88513184,2024-01-01,2024-01-13
None,Preston,ENG,2,1453.86437988,2024-01-01,2024-01-01
None,Sheriff Tiraspol,MOL,0,1453.16015625,2024-01-01,2024-07-10
None,Saint-Etienne,FRA,2,1452.98706055,2024-01-01,2024-01-13
None,Spezia,ITA,2,1452.85827637,2024-01-01,2024-01-13
None,Jagiellonia,POL,1,1451.89013672,2024-01-01,2024-02-11
None,Guingamp,FRA,2,1450.89892578,2024-01-01,2024-01-13
None,Villarreal B,ESP,2,1450.52929688,2024-01-01,2024-01-14
None,Bordeaux,FRA,2,1448.94018555,2024-01-01,2024-01-15
None,Brann,NOR,1,1448.90686035,2024-01-01,2024-02-15
None,Leuven,BEL,1,1448.7454834,2024-01-01,2024-01-21
None,Elfsborg,SWE,1,1448.50109863,2024-01-01,2024-04-01
None,Antalyaspor,TUR,1,1448.26330566,2024-01-01,2024-01-05
None,Huddersfield,ENG,2,1447.88122559,2024-01-01,2024-01-01
None,Eldense,ESP,2,1447.38793945,2024-01-01,2024-01-15
None,Terek Grozny,RUS,1,1446.93640137,2024-01-01,2024-03-02
None,Fatih Karaguemruek,TUR,1,1446.64404297,2024-01-01,2024-01-06
None,Austria Wien,AUT,1,1444.22485352,2024-01-01,2024-02-10
None,Plymouth,ENG,2,1443.65673828,2024-01-01,2024-01-01
None,Malmoe,SWE,1,1442.8503418,2024-01-01,2024-03-30
None,Kayseri,TUR,1,1442.26782227,2024-01-01,2024-01-07
None,Paris FC,FRA,2,1442.25463867,2024-01-01,2024-01-13
None,Konyaspor,TUR,1,1441.64807129,2024-01-01,2024-01-07
None,Grenoble,FRA,2,1441.12780762,2024-01-01,2024-01-13
None,Odense,DEN,1,1439.8404541,2024-01-01,2024-02-13
None,Go Ahead Eagles,NED,1,1439.12927246,2024-01-01,2024-01-14
None,Aris Limassol,CYP,0,1438.81201172,2024-01-01,2024-07-05
None,Heerenveen,NED,1,1438.33532715,2024-01-01,2024-01-13
None,APOEL,CYP,0,1438.05908203,2024-01-01,2024-07-11
None,Lugano,SUI,1,1437.9753418,2024-01-01,2024-01-21
None,Gil Vicente,POR,1,1437.9498291,2024-01-01,2024-01-06
None,Steaua,ROM,1,1437.76135254,2024-01-01,2024-01-22
None,Omonia,CYP,0,1437.73376465,2024-01-01,2024-07-11
None,CSKA Sofia,BUL,1,1437.23840332,2024-01-01,2024-02-15
None,Pisa,ITA,2,1436.64611816,2024-01-01,2024-01-13
None,Nuernberg,GER,2,1436.20959473,2024-01-01,2024-01-20
None,Sigma Olomouc,CZE,1,1436.12316895,2024-01-01,2024-02-10
None,Magdeburg,GER,2,1434.88122559,2024-01-01,2024-01-21
None,Caen,FRA,2,1434.19238281,2024-01-01,2024-01-13
None,Suedtirol,ITA,2,1432.92895508,2024-01-01,2024-01-13
None,Slask,POL,1,1432.66223145,2024-01-01,2024-02-11
None,Randers,DEN,1,1431.3125,2024-01-01,2024-02-13
None,Troyes,FRA,2,1431.08947754,2024-01-01,2024-01-13
None,Cartagena,ESP,2,1430.18395996,2024-01-01,2024-01-14
None,Estoril,POR,1,1427.54614258,2024-01-01,2024-01-05
None,Modena,ITA,2,1426.00683594,2024-01-01,2024-01-13
None,Birmingham,ENG,2,1425.27160645,2024-01-01,2024-01-01
None,Banik Ostrava,CZE,1,1424.42980957,2024-01-01,2024-02-10
None,Brescia,ITA,2,1422.62695312,2024-01-01,2024-01-13
None,Boavista,POR,1,1422.41113281,2024-01-01,2024-01-05
None,Kasimpasa,TUR,1,1421.41479492,2024-01-01,2024-01-05
None,Pau,FRA,2,1420.6907959,2024-01-01,2024-01-13
None,Luzern,SUI,1,1420.59533691,2024-01-01,2024-01-23
None,Viking,NOR,1,1418.91821289,2024-01-01,2024-02-15
None,Farense,POR,1,1418.83117676,2024-01-01,2024-01-06
None,Alcorcon,ESP,2,1416.34558105,2024-01-01,2024-01-13
None,Rubin Kazan,RUS,1,1415.73388672,2024-01-01,2024-03-02
None,Aris,GRE,1,1415.69775391,2024-01-01,2024-01-03
None,CFR Cluj,ROM,1,1415.46923828,2024-01-01,2024-01-21
None,Sivasspor,TUR,1,1415.0378418,2024-01-01,2024-01-07
None,Orenburg,RUS,1,1414.21240234,2024-01-01,2024-03-02
None,Catanzaro,ITA,2,1413.46777344,2024-01-01,2024-01-12
None,Casa Pia,POR,1,1411.265625,2024-01-01,2024-01-08
None,Rijeka,CRO,1,1409.88269043,2024-01-01,2024-01-24
None,Hartberg,AUT,1,1409.29577637,2024-01-01,2024-02-10
None,Dnipro,UKR,1,1408.66955566,2024-01-01,2024-02-15
None,Bastia,FRA,2,1408.27294922,2024-01-01,2024-01-13
None,Rodez,FRA,2,1407.87243652,2024-01-01,2024-01-13
None,Wolfsberg,AUT,1,1407.70593262,2024-01-01,2024-02-11
None,Nizhny Novgorod,RUS,1,1407.1217041,2024-01-01,2024-03-03
None,Vizela,POR,1,1407.07409668,2024-01-01,2024-01-06
None,Alanyaspor,TUR,1,1406.10510254,2024-01-01,2024-01-05
None,Haecken,SWE,1,1405.91943359,2024-01-01,2024-03-31
None,Partizan,SRB,1,1405.18005371,2024-01-01,2024-02-10
None,Elversberg,GER,2,1404.08862305,2024-01-01,2024-01-20
None,Zwolle,NED,1,1402.72412109,2024-01-01,2024-01-13
None,Rosenborg,NOR,1,1402.33959961,2024-01-01,2024-02-15
None,Gornik,POL,1,1402.22265625,2024-01-01,2024-02-10
None,Basel,SUI,1,1401.60546875,2024-01-01,2024-01-21
None,Laval,FRA,2,1400.92773438,2024-01-01,2024-01-13
None,Klagenfurt,AUT,1,1400.21618652,2024-01-01,2024-02-11
None,Rio Ave,POR,1,1400.14929199,2024-01-01,2024-01-07
None,QPR,ENG,2,1399.68945312,2024-01-01,2024-01-01
None,Ascoli,ITA,2,1398.84899902,2024-01-01,2024-01-14
None,Estrela Amadora,POR,1,1398.20275879,2024-01-01,2024-01-06
None,Grasshoppers,SUI,1,1396.80334473,2024-01-01,2024-01-20
None,Vitesse,NED,1,1396.35571289,2024-01-01,2024-01-14
None,Sverdlovsk,RUS,1,1395.81164551,2024-01-01,2024-03-02
None,Ankaraguecue,TUR,1,1394.61938477,2024-01-01,2024-01-06
None,Lyngby,DEN,1,1393.48461914,2024-01-01,2024-02-13
None,Zorya,UKR,1,1393.2779541,2024-01-01,2024-02-15
None,Molenbeek,BEL,1,1393.19018555,2024-01-01,2024-01-21
None,Fakel Voronezh,RUS,1,1392.82543945,2024-01-01,2024-03-03
None,Mlada Boleslav,CZE,1,1392.81896973,2024-01-01,2024-02-10
None,Amorebieta,ESP,2,1392.60241699,2024-01-01,2024-01-13
None,Djurgarden,SWE,1,1392.578125,2024-01-01,2024-04-01
None,Lautern,GER,2,1391.67785645,2024-01-01,2024-01-20
None,Hammarby,SWE,1,1391.61157227,2024-01-01,2024-03-31
None,Wehen,GER,2,1391.00195312,2024-01-01,2024-01-21
None,Rotherham,ENG,2,1390.0378418,2024-01-01,2024-01-01
None,Hearts,SCO,1,1387.43737793,2024-01-01,2024-01-02
None,Rostock,GER,2,1386.72741699,2024-01-01,2024-01-20
None,Ternana,ITA,2,1386.50512695,2024-01-01,2024-01-13
None,Sittard,NED,1,1386.36425781,2024-01-01,2024-01-13
None,Reggiana,ITA,2,1386.34484863,2024-01-01,2024-01-13
None,Waalwijk,NED,1,1386.0423584,2024-01-01,2024-01-12
None,Celje,SVN,1,1383.73999023,2024-01-01,2024-02-11
None,Cosenza,ITA,2,1383.33361816,2024-01-01,2024-01-14
None,Sheffield Weds,ENG,2,1382.22363281,2024-01-01,2024-01-01
None,Almere,NED,1,1382.01208496,2024-01-01,2024-01-14
None,Craiova,ROM,1,1381.83813477,2024-01-01,2024-01-21
None,Chaves,POR,1,1381.47106934,2024-01-01,2024-01-07
None,Sochi,RUS,1,1381.24572754,2024-01-01,2024-03-03
None,Portimonense,POR,1,1379.2154541,2024-01-01,2024-01-07
None,Slovan Liberec,CZE,1,1378.78808594,2024-01-01,2024-02-10
None,Levski,BUL,1,1378.07275391,2024-01-01,2024-02-15
None,Osijek,CRO,1,1377.58349609,2024-01-01,2024-01-27
None,Bohemians Praha,CZE,1,1377.35107422,2024-01-01,2024-02-11
None,Slovan Bratislava,SLK,0,1377.31323242,2024-01-01,2024-02-15
None,Lillestrom,NOR,1,1376.72338867,2024-01-01,2024-02-15
None,Sarpsborg,NOR,1,1376.66015625,2024-01-01,2024-02-15
None,Radomiak,POL,1,1375.16455078,2024-01-01,2024-02-10
None,Rizespor,TUR,1,1371.57385254,2024-01-01,2024-01-06
None,Excelsior,NED,1,1371.38146973,2024-01-01,2024-01-13
None,Lecco,ITA,2,1370.75158691,2024-01-01,2024-01-12
None,Heracles,NED,1,1370.61999512,2024-01-01,2024-01-12
None,Trnava,SLK,0,1369.22070312,2024-01-01,2024-02-15
None,US Quevilly,FRA,2,1369.18505859,2024-01-01,2024-01-13
None,Cracovia,POL,1,1368.5802002,2024-01-01,2024-02-10
None,Amiens,FRA,2,1367.32116699,2024-01-01,2024-01-13
None,Vejle,DEN,1,1364.64990234,2024-01-01,2024-02-13
None,Stromsgodset,NOR,1,1364.48400879,2024-01-01,2024-02-15
None,Zilina,SLK,0,1361.78234863,2024-01-01,2024-02-15
None,Hibernian,SCO,1,1361.12341309,2024-01-01,2024-01-02
None,Rapid Bucuresti,ROM,1,1361.01208496,2024-01-01,2024-01-19
None,Braunschweig,GER,2,1360.02160645,2024-01-01,2024-01-19
None,Odd Grenland,NOR,1,1357.92358398,2024-01-01,2024-02-15
None,Paksi,HUN,1,1356.21899414,2024-01-01,2024-02-04
None,Cherno More,BUL,1,1353.68603516,2024-01-01,2024-02-15
None,Warta,POL,1,1353.40234375,2024-01-01,2024-02-11
None,Stal Mielec,POL,1,1352.85180664,2024-01-01,2024-02-09
None,H Tel Aviv,ISR,1,1352.46154785,2024-01-01,2024-01-03
None,Netanya,ISR,1,1351.97814941,2024-01-01,2024-01-02
None,Viitorul,ROM,1,1350.55749512,2024-01-01,2024-01-21
None,Sepsi,ROM,1,1349.72644043,2024-01-01,2024-01-19
None,Lubin,POL,1,1347.99047852,2024-01-01,2024-02-10
None,Jablonec,CZE,1,1347.18701172,2024-01-01,2024-02-11
None,Neftchi,AZE,0,1347.12695312,2024-01-01,2024-02-15
None,Videoton,HUN,1,1346.94873047,2024-01-01,2024-02-03
None,Annecy,FRA,2,1346.72521973,2024-01-01,2024-01-13
None,Winterthur,SUI,1,1346.38256836,2024-01-01,2024-01-23
None,Sabah,AZE,0,1345.0189209,2024-01-01,2024-02-15
None,Valerenga,NOR,1,1344.95275879,2024-01-01,2024-01-01
None,Puskas Akademia,HUN,1,1344.71875,2024-01-01,2024-02-04
None,Aberdeen,SCO,1,1344.32897949,2024-01-01,2024-01-02
None,AIK,SWE,1,1343.5637207,2024-01-01,2024-04-01
None,Hradec Kralove,CZE,1,1342.65844727,2024-01-01,2024-02-11
None,Baltika,RUS,1,1342.01623535,2024-01-01,2024-03-03
None,Feralpisalo,ITA,2,1341.76074219,2024-01-01,2024-01-13
None,Kortrijk,BEL,1,1340.50720215,2024-01-01,2024-01-20
None,Eupen,BEL,1,1339.8338623,2024-01-01,2024-01-21
None,Haugesund,NOR,1,1338.82287598,2024-01-01,2024-02-15
